Title,Author,In A Series,Pages,Year,Genres/Tags
Project Hail MaryAndy Weir,Andy Weir,False,476,2021,"['hopeful', 'adventurous', 'science fiction', 'funny', 'fiction', 'medium-paced']"
In Her Own LeagueLiz Tomforde,Liz Tomforde,True,440,2026,"['lighthearted', 'contemporary', 'emotional', 'medium-paced', 'funny', 'sports', 'fiction', 'romance']"
This Story Might Save Your LifeTiffany Crum,Tiffany Crum,False,368,2026,"['emotional', 'fast-paced', 'tense', 'mysterious', 'thriller', 'fiction', 'crime']"
The CorrespondentVirginia Evans,Virginia Evans,False,304,2025,"['hopeful', 'literary', 'contemporary', 'emotional', 'medium-paced', 'fiction', 'reflective']"
"And Now, Back To YouB.K. Borison",B.K. Borison,True,448,2026,"['lighthearted', 'contemporary', 'emotional', 'medium-paced', 'funny', 'fiction', 'romance']"
Dungeon Crawler CarlMatt Dinniman,Matt Dinniman,True,446,2020,"['adventurous', 'science fiction', 'fantasy', 'fast-paced', 'funny', 'fiction']"
I Who Have Never Known MenJacqueline Harpman,Jacqueline Harpman,False,201,1995,"['dark', 'literary', 'medium-paced', 'mysterious', 'dystopian', 'fiction', 'reflective']"
Heart the LoverLily King,Lily King,False,249,2025,"['sad', 'literary', 'emotional', 'fast-paced', 'fiction', 'reflective']"
Half His AgeJennette McCurdy,Jennette McCurdy,False,276,2026,"['dark', 'literary', 'contemporary', 'emotional', 'fast-paced', 'fiction']"
Wild Dark ShoreCharlotte McConaghy,Charlotte McConaghy,False,302,2025,"['dark', 'literary', 'emotional', 'mysterious', 'thriller', 'fiction', 'medium-paced']"
DaggermouthH.M. Wolfe,H.M. Wolfe,True,566,2025,"['dark', 'emotional', 'fast-paced', 'tense', 'dystopian', 'fiction', 'romance']"
Agnes Aubert's Mystical Cat ShelterHeather Fawcett,Heather Fawcett,False,353,2026,"['hopeful', 'lighthearted', 'fantasy', 'funny', 'fiction', 'medium-paced']"
My Husband's WifeAlice Feeney,Alice Feeney,False,310,2026,"['dark', 'fast-paced', 'tense', 'mysterious', 'thriller', 'fiction']"
Theo of GoldenAllen Levi,Allen Levi,False,398,2023,"['hopeful', 'inspiring', 'literary', 'contemporary', 'emotional', 'fiction', 'medium-paced']"
Red RisingPierce Brown,Pierce Brown,True,382,2014,"['dark', 'adventurous', 'science fiction', 'tense', 'dystopian', 'fiction', 'medium-paced']"
KinTayari Jones,Tayari Jones,False,368,2026,"['sad', 'literary', 'emotional', 'medium-paced', 'fiction', 'reflective']"
Remarkably Bright CreaturesShelby Van Pelt,Shelby Van Pelt,False,360,2022,"['hopeful', 'literary', 'emotional', 'fiction', 'medium-paced']"
AtmosphereTaylor Jenkins Reid,Taylor Jenkins Reid,False,337,2025,"['inspiring', 'adventurous', 'literary', 'lgbtqia+', 'emotional', 'fiction', 'medium-paced']"
Dear DebbieFreida McFadden,Freida McFadden,False,336,2026,"['dark', 'fast-paced', 'tense', 'mysterious', 'thriller', 'fiction']"
Carl's Doomsday ScenarioMatt Dinniman,Matt Dinniman,True,371,2021,"['adventurous', 'science fiction', 'fantasy', 'fast-paced', 'funny', 'fiction']"
HamnetMaggie O'Farrell,Maggie O'Farrell,False,372,2020,"['sad', 'literary', 'emotional', 'medium-paced', 'historical', 'fiction', 'reflective']"
The Wedding PeopleAlison Espach,Alison Espach,False,367,2024,"['hopeful', 'literary', 'contemporary', 'emotional', 'funny', 'fiction', 'medium-paced']"
Lady TremaineRachel Hochhauser,Rachel Hochhauser,False,336,2026,"['dark', 'adventurous', 'emotional', 'historical', 'fiction', 'medium-paced']"
KatabasisR.F. Kuang,R.F. Kuang,False,541,2025,"['dark', 'adventurous', 'fantasy', 'tense', 'historical', 'fiction', 'medium-paced']"
Heated RivalryRachel Reid,Rachel Reid,True,380,2019,"['lgbtqia+', 'contemporary', 'emotional', 'lighthearted', 'fast-paced', 'funny', 'sports', 'fiction', 'romance']"
The EverlastingAlix E. Harrow,Alix E. Harrow,False,311,2025,"['adventurous', 'emotional', 'fantasy', 'fiction', 'medium-paced']"
PiranesiSusanna Clarke,Susanna Clarke,False,245,2020,"['speculative fiction', 'adventurous', 'literary', 'fantasy', 'medium-paced', 'mysterious', 'fiction', 'reflective']"
Everything is TuberculosisJohn Green,John Green,False,198,2025,"['hopeful', 'health', 'nonfiction', 'science', 'informative', 'fast-paced', 'history', 'reflective']"
My FriendsFredrik Backman,Fredrik Backman,False,436,2025,"['hopeful', 'literary', 'contemporary', 'emotional', 'funny', 'fiction', 'medium-paced']"
Sunrise on the ReapingSuzanne Collins,Suzanne Collins,True,382,2025,"['sad', 'dark', 'young adult', 'emotional', 'fast-paced', 'dystopian', 'fiction']"
The Dungeon Anarchist's CookbookMatt Dinniman,Matt Dinniman,True,532,2021,"['dark', 'adventurous', 'science fiction', 'fantasy', 'fast-paced', 'funny', 'fiction']"
Two Can PlayAli Hazelwood,Ali Hazelwood,False,187,2024,"['lighthearted', 'contemporary', 'fast-paced', 'funny', 'fiction', 'romance']"
Fourth WingRebecca Yarros,Rebecca Yarros,True,517,2023,"['adventurous', 'emotional', 'fantasy', 'medium-paced', 'tense', 'fiction', 'romance']"
The Seven Husbands of Evelyn HugoTaylor Jenkins Reid,Taylor Jenkins Reid,False,389,2017,"['reflective', 'sad', 'literary', 'lgbtqia+', 'emotional', 'medium-paced', 'historical', 'fiction', 'romance']"
A Court of Mist and FurySarah J. Maas,Sarah J. Maas,True,626,2016,"['dark', 'adventurous', 'emotional', 'fantasy', 'medium-paced', 'fiction', 'romance']"
BabelR.F. Kuang,R.F. Kuang,False,544,2022,"['dark', 'literary', 'challenging', 'fantasy', 'emotional', 'historical', 'fiction', 'medium-paced']"
A Short Stay in HellSteven L. Peck,Steven L. Peck,False,104,2011,"['sad', 'dark', 'literary', 'slow-paced', 'magical realism', 'fiction', 'reflective']"
The Poison DaughterSheila Masterson,Sheila Masterson,False,666,2025,"['dark', 'adventurous', 'emotional', 'fantasy', 'medium-paced', 'fiction', 'romance']"
AlchemisedSenLinYu,SenLinYu,False,1029,2025,"['dark', 'emotional', 'fantasy', 'tense', 'fiction', 'medium-paced']"
Strange BuildingsUketsu,Uketsu,True,384,2023,"['mystery', 'dark', 'fast-paced', 'tense', 'mysterious', 'thriller', 'fiction', 'horror']"
How to Hide an EmpireDaniel Immerwahr,Daniel Immerwahr,False,528,2019,"['nonfiction', 'informative', 'history', 'politics', 'medium-paced']"
Wuthering HeightsEmily Brontë,Emily Brontë,False,464,1847,"['dark', 'classics', 'literary', 'emotional', 'slow-paced', 'fiction', 'romance']"
The HousemaidFreida McFadden,Freida McFadden,True,338,2022,"['mystery', 'dark', 'contemporary', 'fast-paced', 'tense', 'mysterious', 'thriller', 'fiction']"
The Midnight LibraryMatt Haig,Matt Haig,True,288,2020,"['hopeful', 'literary', 'science fiction', 'emotional', 'medium-paced', 'fiction', 'reflective']"
The Hunger GamesSuzanne Collins,Suzanne Collins,True,374,2008,"['dark', 'adventurous', 'young adult', 'fast-paced', 'tense', 'dystopian', 'fiction']"
The Astral LibraryKate Quinn,Kate Quinn,False,297,2026,"['hopeful', 'adventurous', 'literary', 'magical realism', 'fiction', 'medium-paced']"
Mistakes Were MadeLucy Score,Lucy Score,True,560,2026,"['hopeful', 'lighthearted', 'contemporary', 'medium-paced', 'funny', 'fiction', 'romance']"
The Silent PatientAlex Michaelides,Alex Michaelides,False,325,2019,"['mystery', 'dark', 'tense', 'mysterious', 'thriller', 'fiction', 'medium-paced']"
Common GoalRachel Reid,Rachel Reid,True,316,2020,"['lgbtqia+', 'contemporary', 'emotional', 'lighthearted', 'medium-paced', 'funny', 'sports', 'fiction', 'romance']"
The God of the WoodsLiz Moore,Liz Moore,False,478,2024,"['mystery', 'dark', 'literary', 'tense', 'mysterious', 'thriller', 'historical', 'fiction', 'medium-paced']"
East of EdenJohn Steinbeck,John Steinbeck,False,601,1952,"['classics', 'literary', 'emotional', 'slow-paced', 'historical', 'fiction', 'reflective']"
Broken CountryClare Leslie Hall,Clare Leslie Hall,False,303,2025,"['sad', 'mystery', 'literary', 'emotional', 'medium-paced', 'mysterious', 'fiction', 'romance']"
First-Time CallerB.K. Borison,B.K. Borison,True,437,2025,"['hopeful', 'lighthearted', 'contemporary', 'medium-paced', 'funny', 'fiction', 'romance']"
House of Earth and BloodSarah J. Maas,Sarah J. Maas,True,800,2020,"['adventurous', 'emotional', 'fantasy', 'medium-paced', 'mysterious', 'fiction', 'romance']"
The Invisible Life of Addie LaRueV.E. Schwab,V.E. Schwab,False,444,2020,"['adventurous', 'literary', 'emotional', 'fantasy', 'mysterious', 'fiction', 'medium-paced']"
It's Not HerMary Kubica,Mary Kubica,False,352,2026,"['dark', 'fast-paced', 'tense', 'mysterious', 'thriller', 'fiction']"
The Long GameRachel Reid,Rachel Reid,True,414,2022,"['hopeful', 'lgbtqia+', 'contemporary', 'emotional', 'medium-paced', 'funny', 'sports', 'fiction', 'romance']"
Strangers: A Memoir of MarriageBelle Burden,Belle Burden,False,241,2026,"['memoir', 'sad', 'nonfiction', 'emotional', 'medium-paced', 'reflective']"
The WomenKristin Hannah,Kristin Hannah,False,471,2024,"['sad', 'challenging', 'emotional', 'historical', 'fiction', 'medium-paced']"
